Produkt;Kaloryczność [kcal];Białko [g];Tłuszcz [g];Węglowodany [g]
Boczniaki;11;2.3;0.2;0
Borowiki jadalne surowe;41;5.1;0.6;5.2
Borowiki jadalnesuszone;321;37.7;3.1;39.2
Koźlarze;18;3.1;0.6;0
Koźlarze czerwone;18;2.2;0.8;0.3
Kurki;15;2.4;0.5;0.2
Maślaki;12;1.7;0.4;0.3
Opieńka;19;3.2;0.7;0.1
Pieczarka uprawna świeża;17;2.7;0.4;2.6
Pieczarki marynowane konserwowe;19;2.3;0.4;4.3
Rydze;18;2.8;0.7;0.1
Smardze jadalne;15;2.5;0.3;0.5
Trufle;70;8.3;0.5;7.4
